<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,D,20150331,000000,19.1447,19.1447,18.8264,18.8725,27815.601771361322,0
TXT,D,20150401,000000,18.9698,20.0996,18.9698,19.666,78145.51417096662,0
TXT,D,20150402,000000,20.0293,20.184,19.9547,20.0639,8782.131936073083,0
TXT,D,20150407,000000,20.0851,20.4744,19.9605,19.9605,5659.386851080016,0
TXT,D,20150408,000000,19.9605,19.9605,19.3815,19.7797,4927.43739698538,0
TXT,D,20150409,000000,19.7797,19.7797,19.2012,19.2486,7848.623144898142,0
TXT,D,20150410,000000,19.2623,19.3762,19.0866,19.2623,9482.271685788746,0
TXT,D,20150413,000000,19.3175,19.3175,18.5074,18.6817,7499.890908891119,0
TXT,D,20150414,000000,18.6304,18.6304,17.0609,17.6281,15222.547624448525,0
TXT,D,20150415,000000,17.6124,18.276,17.3515,18.276,6136.749919016783,0
TXT,D,20150416,000000,18.276,18.6817,18.276,18.398,2634.767907150702,0
TXT,D,20150417,000000,18.7095,18.7095,18.1599,18.1599,4219.347939953126,0
TXT,D,20150420,000000,18.1546,18.1546,17.6695,17.929,2803.1690258886174,0
TXT,D,20150421,000000,17.929,18.1433,17.6695,17.6695,2937.096037658552,0
TXT,D,20150422,000000,17.7448,17.9011,17.6575,17.8424,1475.8397818330716,0
TXT,D,20150423,000000,17.929,18.1546,17.8424,18.046,3564.296407111044,0
TXT,D,20150424,000000,17.929,18.2202,17.929,17.929,3086.933339174278,0
TXT,D,20150427,000000,18.0745,18.0745,17.4343,17.929,9158.726210582305,0
TXT,D,20150428,000000,18.0217,18.0217,17.4653,17.9229,1153.6210703648305,0
TXT,D,20150429,000000,17.9229,17.9229,17.3515,17.6252,11247.150210522454,0
TXT,D,20150430,000000,17.8779,17.8779,17.3574,17.3574,2988.8180732231326,0
TXT,D,20150504,000000,17.3515,17.6403,17.3515,17.4856,8170.841856366383,0
TXT,D,20150505,000000,17.6403,17.8709,17.5255,17.6756,16553.770158817806,0
TXT,D,20150506,000000,17.7276,17.7276,17.3868,17.5255,6315.765147660298,0
TXT,D,20150507,000000,17.5368,17.6124,17.5331,17.5768,11175.483218434441,0
TXT,D,20150508,000000,17.7276,18.1908,17.6983,18.046,1530.2044697614438,0
TXT,D,20150511,000000,18.7971,18.9764,18.5074,18.9764,17077.624333154607,0
TXT,D,20150512,000000,19.0746,19.0866,18.7971,18.9698,12528.020973515786,0
TXT,D,20150513,000000,18.6817,19.1447,17.9411,19.1342,21075.533230179644,0
TXT,D,20150514,000000,19.0806,19.0806,18.3348,18.5074,2339.073595333851,0
TXT,D,20150515,000000,18.7971,18.7971,18.2307,18.7971,1193.4022322856115,0
TXT,D,20150518,000000,18.7971,18.7971,17.2934,17.2934,11877.036732789167,0
TXT,D,20150519,000000,18.2202,18.9593,17.7547,18.9593,38219.38699911818,0
TXT,D,20150520,000000,18.9434,18.9434,17.929,18.7919,32176.848180626188,0
TXT,D,20150521,000000,18.7277,18.7277,18.3053,18.6018,808.8636880161029,0
TXT,D,20150522,000000,18.3635,18.5639,18.3635,18.4509,3684.9666566115875,0
TXT,D,20150525,000000,18.4433,18.5378,18.3635,18.5074,826.1018290113544,0
TXT,D,20150526,000000,18.5074,19.0806,18.398,18.9071,30281.968559774108,0
TXT,D,20150527,000000,18.9071,18.9434,18.2202,18.9434,2114.9701498167547,0
TXT,D,20150528,000000,18.9115,18.9434,18.2819,18.8566,3455.5670312542998,0
TXT,D,20150529,000000,18.9115,18.9434,18.8566,18.9434,4731.185114857874,0
TXT,D,20150601,000000,18.9644,18.9644,18.5074,18.9289,1420.1483301664994,0
TXT,D,20150602,000000,18.9289,18.9698,18.7971,18.9698,1239.806337784784,0
TXT,D,20150603,000000,18.9999,18.9999,18.5128,18.8838,1463.9097833018805,0
TXT,D,20150605,000000,18.8566,18.8566,18.3115,18.3115,2506.1479503335668,0
TXT,D,20150608,000000,18.1162,18.7095,18.1031,18.6176,1791.4246746103133,0
TXT,D,20150609,000000,18.6817,18.6991,17.929,18.1031,6407.2574700330515,0
TXT,D,20150610,000000,18.1031,18.5074,18.1031,18.1908,1694.6361723973685,0
TXT,D,20150611,000000,18.276,18.5074,18.1031,18.3915,4141.112379849763,0
TXT,D,20150612,000000,18.046,18.046,17.831,17.9077,1470.5327268802719,0
TXT,D,20150615,000000,18.046,18.3573,17.8205,18.3573,872.5113720668312,0
TXT,D,20150616,000000,18.3522,18.3522,17.8709,18.1031,1603.1329749120066,0
TXT,D,20150617,000000,18.2479,18.276,18.2428,18.276,997.1564752256704,0
TXT,D,20150618,000000,18.1031,18.1031,17.6403,17.7842,2540.6220573015485,0
TXT,D,20150619,000000,18.1734,18.1734,17.3574,17.3574,4330.73084328627,0
TXT,D,20150622,000000,17.6983,17.6983,16.0906,17.3219,29149.543083882654,0
TXT,D,20150623,000000,17.178,17.2934,16.6183,17.2934,6408.584233771251,0
TXT,D,20150624,000000,16.9183,17.2519,16.656,17.2519,3515.2387741354714,0
TXT,D,20150625,000000,17.2458,17.2934,16.7781,17.2579,2869.4745874607893,0
TXT,D,20150626,000000,17.1023,17.1023,17.0496,17.0963,2617.530853666711,0
TXT,D,20150629,000000,16.7615,16.7615,15.0965,16.3975,12537.373570358835,0
TXT,D,20150630,000000,16.3672,16.3672,15.9976,16.3566,2124.2574959841536,0
TXT,D,20150701,000000,16.0611,16.4201,15.9176,16.1952,11968.496429824096,0
TXT,D,20150702,000000,16.1952,16.3392,15.9637,15.9637,4867.765654104209,0
TXT,D,20150703,000000,16.1952,16.1952,15.9057,16.1086,3775.132215246141,0
TXT,D,20150706,000000,15.7607,16.7676,15.7607,16.7103,3128.041264833259,0
TXT,D,20150707,000000,17.2934,17.3454,16.1952,16.5422,4107.965036619982,0
TXT,D,20150708,000000,16.3392,16.3392,16.0204,16.0204,1349.8733524923366,0
TXT,D,20150709,000000,15.9057,16.1952,15.9057,16.079,815.4931566620592,0
TXT,D,20150710,000000,16.9463,17.0044,16.7729,17.0044,864.555139682675,0
TXT,D,20150713,000000,17.3515,17.5187,17.1205,17.2934,4489.855490969395,0
TXT,D,20150714,000000,17.1831,17.1831,17.0609,17.0609,281.1129608317817,0
TXT,D,20150715,000000,17.3454,17.6341,17.2134,17.2134,13757.234951620188,0
TXT,D,20150716,000000,17.3454,17.8159,17.178,17.8159,6515.986845889795,0
TXT,D,20150717,000000,17.9229,17.9411,17.4653,17.4653,1731.7638068417498,0
TXT,D,20150720,000000,17.4969,17.4969,17.178,17.3515,2231.6601081026984,0
TXT,D,20150721,000000,17.4969,17.4969,16.9183,17.178,5656.733323603616,0
TXT,D,20150722,000000,17.6824,17.6824,16.57,17.0225,11076.084689195528,0
TXT,D,20150723,000000,17.3454,17.3454,16.7781,16.8024,848.6437624256232,0
TXT,D,20150724,000000,16.8083,16.9116,16.8083,16.9116,259.89670364445203,0
TXT,D,20150727,000000,17.2066,17.2066,16.8024,17.0609,1694.6361723973685,0
TXT,D,20150728,000000,16.8665,17.4238,16.6305,17.193,1881.6011083574751,0
TXT,D,20150729,000000,17.245,17.245,17.1855,17.1855,607.310876003362,0
